path,size_bytes,file_count
./dashboard/frontend/node_modules/@testing-library/jest-dom/node_modules/dom-accessibility-api/dist,430080,64
./dashboard/frontend/node_modules/@vitest/expect/node_modules/@standard-schema/spec/dist,20480,4
./dashboard/frontend/node_modules/engine.io-parser/build,131072,30
./dashboard/frontend/node_modules/engine.io-client/build,614400,111
./dashboard/frontend/node_modules/socket.io-client/build,344064,44
./dashboard/frontend/node_modules/socket.io-parser/build,110592,21
./dashboard/frontend/node_modules/pretty-format/build,122880,24
./dashboard/frontend/node_modules/@tanstack/react-query-devtools/build,245760,52
./dashboard/frontend/node_modules/@tanstack/react-query/build,1662976,303
./dashboard/frontend/node_modules/@tanstack/query-devtools/build,2351104,14
./dashboard/frontend/node_modules/@tanstack/query-core/build,2863104,294
./tests/__pycache__,274432,10
./SpliceReel/__pycache__,8192,2
./scripts/__pycache__,565248,34
./FrameDrift/__pycache__,8192,2
./ClutchWire/__pycache__,8192,2
./SpliceReel/sr_strategies/__pycache__,192512,22
./dashboard/tests/__pycache__,3174400,126
./dashboard/server/__pycache__,196608,4
./genlab-core/tests/__pycache__,4796416,201
./genlab-core/scripts/__pycache__,32768,2
./SpliceReel/tests/__pycache__,782336,53
./BlackboxBrief/core/__pycache__,36864,5
./BlackboxBrief/tests/__pycache__,3522560,126
./BlackboxBrief/execution/__pycache__,1880064,47
./BlackboxBrief/scripts/__pycache__,32768,2
./BlackboxBrief/bb_strategies/__pycache__,245760,21
./CriticalRush/core/__pycache__,32768,4
./CriticalRush/tests/__pycache__,364544,17
./FrameDrift/tests/__pycache__,782336,50
./FrameDrift/fd_strategies/__pycache__,163840,20
./ClutchWire/tests/__pycache__,774144,48
./ClutchWire/cw_strategies/__pycache__,151552,18
./genlab-core/migrations/versions/__pycache__,360448,58
./dashboard/server/middleware/__pycache__,16384,4
./dashboard/server/core/__pycache__,241664,20
./dashboard/server/auth/__pycache__,20480,2
./dashboard/server/api/__pycache__,1327104,83
./genlab-core/tests/analytics/__pycache__,20480,2
./genlab-core/tests/writing/__pycache__,651264,25
./genlab-core/tests/media/__pycache__,1294336,43
./genlab-core/src/genlab_core/__pycache__,53248,7
./BlackboxBrief/tests/core/__pycache__,77824,3
./BlackboxBrief/tests/_legacy/__pycache__,241664,12
./BlackboxBrief/execution/stages/__pycache__,12288,3
./BlackboxBrief/execution/utils/__pycache__,393216,27
./BlackboxBrief/execution/sources/__pycache__,81920,7
./BlackboxBrief/execution/scrapers/__pycache__,20480,2
./CriticalRush/niches/gaming/__pycache__,8192,2
./CriticalRush/tests/publishing/__pycache__,69632,5
./CriticalRush/tests/pipeline/__pycache__,65536,5
./CriticalRush/tests/gaming/__pycache__,1597440,61
./CriticalRush/tests/orchestration/__pycache__,139264,10
./genlab-core/tests/intel/__pycache__,458752,12
./genlab-core/tests/publishing/__pycache__,815104,33
./genlab-core/tests/pipeline/__pycache__,897024,38
./genlab-core/tests/migrations/__pycache__,32768,3
./genlab-core/tests/video/__pycache__,20480,2
./genlab-core/tests/platforms/__pycache__,741376,23
./genlab-core/tests/tools/__pycache__,49152,4
./genlab-core/tests/llm/__pycache__,114688,4
./genlab-core/tests/scheduling/__pycache__,1044480,34
./genlab-core/tests/intelligence/__pycache__,294912,8
./genlab-core/tests/config/__pycache__,69632,5
./genlab-core/tests/security/__pycache__,24576,2
./genlab-core/tests/auth/__pycache__,155648,5
./genlab-core/tests/deploy/__pycache__,229376,17
